Frames	20K-me+-precincts		precincts		me		20K-trunc
0	30,070567		16,028066		20,570919		16,150115
1	28,945156		16,023349		20,587073		16,150133
2	27,10353		16,016985		20,572557		16,158591
3	26,429189		16,39971		20,562524		16,735014
4	25,622426		16,010785		20,516355		16,151149
5	25,478444		16,353223		20,546321		16,730461
6	25,329225		16,391897		20,578676		16,728147
7	25,518741		16,294402		20,578408		16,737383
8	25,413584		16,555579		20,527002		16,153236
9	25,510882		16,302814		20,474522		16,159642
10	25,405598		16,519799		20,426225		16,166807
11	25,417622		16,364375		20,381901		16,738694
12	25,30157		16,076643		20,391692		16,164326
13	25,3078		16,136646		20,396996		16,743199
14	25,279611		16,43216		20,368908		16,750041
15	25,246789		16,228954		20,343619		16,164122
16	25,162521		16,439667		20,307336		16,166571
17	25,084477		16,11466		20,317401		16,168198
18	24,969403		16,297484		20,272566		16,15858
19	24,907802		16,47894		20,258752		16,755419
20	24,804534		16,126677		20,210992		16,747644
21	24,7638		16,170971		20,214859		16,161648
22	24,664041		16,395807		19,978667		16,173159
23	24,665027		16,442569		19,968863		16,165369
24	24,636246		16,348324		19,948309		16,191534
25	24,642363		16,119895		19,899683		16,76939
26	24,5374		16,394502		19,916783		16,19454
27	24,513765		16,255334		19,88019		16,775681
28	24,491454		16,076381		19,819324		16,191955
29	24,513542		16,328706		19,870104		16,774877
30	24,464018		16,165684		19,800307		16,204726
31	24,488488		16,312345		19,835643		16,21101
32	24,493027		16,01104		19,793738		16,223284
33	24,456146		16,173854		19,769548		16,20955
34	24,416585		16,287928		19,790642		16,780013
35	24,434629		16,276373		19,754858		16,215184
36	24,45092		16,10934		19,790557		16,78623
37	24,442933		16,252295		19,735617		16,790675
38	24,428509		16,107568		19,726942		16,241459
39	24,433682		16,036578		19,740026		16,253801
40	24,368545		16,340132		19,69252		16,789539
41	24,362964		16,361981		19,751498		16,252956
42	24,343689		15,893024		19,700114		16,257014
43	24,381328		16,284743		19,679049		16,268196
44	24,365351		16,130389		19,641899		16,831927
45	24,333251		16,344111		19,586211		16,274508
46	24,297433		16,646921		19,609807		16,829379
47	24,333771		15,970942		19,558872		16,297055
48	24,285238		15,986909		19,559415		16,299076
49	24,33583		15,827881		19,575868		16,323495
50	24,32476		16,385059		19,522382		16,878941
