Frames	22K-me+precincts		precincts		me		22K-trunc
0	30,06249		18,934491		20,570919		19,725073
1	28,957127		18,922813		20,586073		19,709515
2	27,127659		18,932616		20,573235		19,725406
3	26,469136		18,920734		20,565187		19,708791
4	25,680479		18,909614		20,515912		19,697133
5	25,538787		18,916538		20,543497		19,695536
6	25,388888		18,902437		20,581264		19,680146
7	25,554556		18,914629		20,580265		19,694366
8	25,447409		18,904562		20,524669		19,681944
9	25,551738		18,912326		20,480445		19,688369
10	25,451506		18,915303		20,423246		19,696891
11	25,467127		18,897219		20,395391		19,668943
12	25,341673		18,907743		20,388097		19,680832
13	25,34889		18,897588		20,399139		19,665111
14	25,311216		18,913764		20,377953		19,676258
15	25,275877		18,907012		20,348644		19,663645
16	25,192807		18,854588		20,304751		19,660314
17	25,118066		18,863045		20,32271		19,661535
18	25,017309		18,880783		20,279008		19,63385
19	24,945459		18,752075		20,266436		19,645991
20	24,84226		18,881415		20,213596		19,628084
21	24,798966		18,838723		20,218295		19,614855
22	24,703426		18,850177		19,985585		19,626062
23	24,705982		18,880014		19,965796		19,601335
24	24,671053		18,91568		19,955088		19,647449
25	24,680139		18,90427		19,90219		19,625829
26	24,579504		18,859253		19,919215		19,620437
27	24,55829		18,868772		19,886817		19,62604
28	24,539141		18,759263		19,81851		19,58205
29	24,557553		19,203551		19,870774		19,60875
30	24,513458		18,870358		19,797197		19,589583
31	24,538555		18,87472		19,828172		19,592385
32	24,544324		18,77061		19,79115		19,61094
33	24,49856		18,848591		19,762337		19,570517
34	24,457588		18,867101		19,795065		19,589253
35	24,470957		19,263945		19,756978		19,568511
36	24,488476		18,739449		19,795147		19,588785
37	24,486519		18,865156		19,74014		19,593617
38	24,464939		19,461254		19,735283		19,588593
39	24,470563		18,867251		19,748195		19,603969
40	24,41057		18,702227		19,697885		19,56839
41	24,41267		19,253484		19,75611		19,590357
42	24,395537		18,842983		19,698843		19,590797
43	24,426363		18,843433		19,680036		19,604722
44	24,415783		18,841329		19,643264		18,981917
45	24,373724		18,835813		19,590689		19,604256
46	24,334874		19,444256		19,612584		19,612232
47	24,370951		18,794577		19,562989		19,633953
48	24,327702		18,835018		19,560464		19,627533
49	24,384579		18,831222		19,574986		19,00395
50	24,363264		18,847573		19,520449		19,663624
