me+precincts		precincts		me		trunc
44,022086		44,022086		20,570919		44,021342
43,972345		43,972345		20,492221		43,94529
44,00926		44,00926		20,483512		43,996488
43,984568		43,984568		20,503767		43,969678
43,966573		43,966573		20,502444		43,955011
43,972153		43,972153		20,406375		43,946428
43,941029		43,941029		20,353651		43,935046
43,983168		43,983168		20,323346		43,969517
43,983417		43,983417		20,257907		43,952544
43,954044		43,954044		20,312211		43,915556
43,979364		43,979364		20,292329		43,961076
43,953091		43,953091		20,285855		43,911817
43,949543		43,949543		20,202969		43,911036
43,967867		43,967867		20,097378		43,956214
43,940012		43,940012		20,089908		43,921148
43,97239		43,97239		20,08859		43,94584
43,961219		43,961219		20,235869		43,937273
43,981348		43,981348		20,237749		43,955927
43,922217		43,922217		20,194114		43,874593
43,957196		43,957196		20,142776		43,934263
43,930865		43,930865		20,05471		43,943496
43,942396		43,942396		19,987289		43,930637
43,907599		43,907599		20,033822		43,868905
43,893196		43,893196		20,010444		43,868439
43,974575		43,974575		20,063436		43,924702
43,960531		43,960531		20,073645		43,938132
43,989182		43,989182		20,218322		43,975283
44,003326		44,003326		20,22672		43,976634
43,910275		43,910275		20,13415		43,885172
43,951231		43,951231		20,052144		43,928234
43,922341		43,922341		20,017097		43,905131
43,917799		43,917799		19,980811		43,889792
43,92431		43,92431		20,028721		43,910474
43,930392		43,930392		20,04128		43,887842
43,889241		43,889241		19,937087		43,844937
43,919583		43,919583		19,885947		43,901252
43,872965		43,872965		19,826648		43,835472
43,919313		43,919313		19,859942		43,869468
43,92996		43,92996		19,908449		43,876425
43,894576		43,894576		19,9106		43,858342
43,860614		43,860614		19,869213		43,859604
43,881698		43,881698		19,741029		43,850425
43,919903		43,919903		19,748133		43,878481
43,913825		43,913825		19,689106		43,896037
43,935455		43,935455		19,859615		43,886608
43,899946		43,899946		19,812732		43,854275
43,870909		43,870909		19,835633		43,838292
43,892694		43,892694		19,80195		43,858661
43,931074		43,931074		19,821849		43,894443
43,954067		43,954067		19,817481		43,937725
43,930015		43,930015		19,84715		43,899825
