me+precicnts		precincts		me		trunc
50,355234		50,355234		20,570919		50,322913
50,222746		50,222746		20,519621		50,172003
50,302084		50,302084		20,515378		50,271131
50,248418		50,248418		20,537419		50,204384
50,230499		50,230499		20,531742		50,202135
50,232842		50,232842		20,440995		50,186802
50,139574		50,139574		20,380302		50,101401
50,227906		50,227906		20,313208		50,167376
50,207305		50,207305		20,283998		50,166211
50,24954		50,24954		20,338298		50,192323
50,192444		50,192444		20,326925		50,177818
50,212846		50,212846		20,312717		50,181691
50,19953		50,19953		20,229095		50,160342
50,148599		50,148599		20,121573		50,11945
50,198762		50,198762		20,114719		50,148726
50,207205		50,207205		20,146289		50,152616
50,169594		50,169594		20,26213		50,135143
50,195328		50,195328		20,263095		50,150744
50,215715		50,215715		20,221759		50,165696
50,227161		50,227161		20,168476		50,179248
50,177428		50,177428		20,081117		50,139175
50,187837		50,187837		20,011268		50,163015
50,122203		50,122203		20,059342		50,075386
50,173835		50,173835		20,03622		50,130022
50,255956		50,255956		20,090316		50,200911
50,288093		50,288093		20,102348		50,242882
50,265118		50,265118		20,310923		50,22053
50,186007		50,186007		20,29074		50,149816
50,195151		50,195151		20,1599		50,152517
50,200427		50,200427		20,076877		50,150582
50,174846		50,174846		20,102059		50,159736
50,213673		50,213673		20,004189		50,161752
50,217472		50,217472		20,045762		50,177273
50,136271		50,136271		20,067543		50,093445
50,077958		50,077958		19,962017		50,026271
50,094549		50,094549		19,912656		50,046496
50,160032		50,160032		19,864146		50,097452
50,225401		50,225401		19,943756		50,187433
50,13461		50,13461		19,960515		50,089775
50,165625		50,165625		19,941706		50,129868
50,158989		50,158989		19,892476		50,108626
50,025574		50,025574		19,82365		49,975598
50,205104		50,205104		19,772296		50,162754
50,156903		50,156903		19,713513		50,137344
50,19346		50,19346		19,882743		50,159891
50,17404		50,17404		19,842595		50,111908
50,175086		50,175086		19,862038		50,151187
50,132886		50,132886		19,769765		50,074791
50,123027		50,123027		19,787483		50,038297
50,156734		50,156734		19,843703		50,117768
50,266136		50,266136		19,872187		50,209444
