A=0                         A=1                         A=2
---------------------------------------------------	----------------------------
0 0 1.000000 0.000000       0 0 1.000000 0.000000       0 0 1.000000 0.000000
128 0 3.000000 0.000000     128 0 6.000000 0.000000     128 0 12.000000 0.000000
256 0 3.000000 0.000000     256 0 6.000000 0.000000     256 0 12.000000 0.000000
384 0 1.000000 0.000000     384 0 2.000000 0.000000     384 0 4.000000 0.000000
512 0 2.000000 0.000000     512 0 4.000000 0.000000     512 0 9.000000 0.000000
640 0 3.000000 0.000000     640 0 6.000000 0.000000     640 0 12.000000 0.000000
768 0 3.000000 0.000000     768 0 6.000000 0.000000     768 0 12.000000 0.000000
896 0 3.000000 0.000000     896 0 5.000000 0.000000     896 0 10.000000 0.000000
1024 0 3.000000 0.000000    1024 0 5.000000 0.000000    1024 0 10.000000 0.000000
1152 0 3.000000 0.000000    1152 0 5.000000 0.000000    1152 0 10.000000 0.000000
	
0 128 2.000000 0.000000     0 128 5.000000 0.000000     0 128 10.000000 0.000000
128 128 3.000000 0.000000   128 128 5.000000 0.000000   128 128 10.000000 0.000000
256 128 2.000000 0.000000   256 128 5.000000 0.000000   256 128 10.000000 0.000000
384 128 2.000000 0.000000   384 128 5.000000 0.000000   384 128 9.000000 0.000000
512 128 2.000000 0.000000   512 128 5.000000 0.000000   512 128 9.000000 0.000000
640 128 2.000000 0.000000   640 128 5.000000 0.000000   640 128 9.000000 0.000000
768 128 2.000000 0.000000   768 128 5.000000 0.000000   768 128 9.000000 0.000000
896 128 2.000000 0.000000   896 128 5.000000 0.000000   896 128 10.000000 0.000000
1024 128 3.000000 0.000000  1024 128 5.000000 0.000000  1024 128 10.000000 0.000000
1152 128 3.000000 0.000000  1152 128 5.000000 0.000000  1152 128 10.000000 0.000000
	
0 256 3.000000 0.000000     0 256 5.000000 0.000000     0 256 11.000000 0.000000
128 256 2.000000 0.000000   128 256 5.000000 0.000000   128 256 10.000000 0.000000
256 256 2.000000 0.000000   256 256 5.000000 0.000000   256 256 10.000000 0.000000
384 256 2.000000 0.000000   384 256 5.000000 0.000000   384 256 9.000000 0.000000
512 256 2.000000 0.000000   512 256 5.000000 0.000000   512 256 9.000000 0.000000
640 256 2.000000 0.000000   640 256 5.000000 0.000000   640 256 9.000000 0.000000
768 256 2.000000 0.000000   768 256 5.000000 0.000000   768 256 9.000000 0.000000
896 256 2.000000 0.000000   896 256 5.000000 0.000000   896 256 10.000000 0.000000
1024 256 2.000000 0.000000  1024 256 5.000000 0.000000  1024 256 10.000000 0.000000
1152 256 3.000000 0.000000  1152 256 5.000000 0.000000  1152 256 10.000000 0.000000
	
0 384 3.000000 0.000000     0 384 5.000000 0.000000     0 384 11.000000 0.000000
128 384 3.000000 0.000000   128 384 5.000000 0.000000   128 384 10.000000 0.000000
256 384 2.000000 0.000000   256 384 5.000000 0.000000   256 384 10.000000 0.000000
384 384 2.000000 0.000000   384 384 5.000000 0.000000   384 384 9.000000 0.000000
512 384 2.000000 0.000000   512 384 5.000000 0.000000   512 384 9.000000 0.000000
640 384 2.000000 0.000000   640 384 5.000000 0.000000   640 384 9.000000 0.000000
768 384 2.000000 0.000000   768 384 5.000000 0.000000   768 384 9.000000 0.000000
896 384 2.000000 0.000000   896 384 5.000000 0.000000   896 384 10.000000 0.000000
1024 384 3.000000 0.000000  1024 384 5.000000 0.000000  1024 384 10.000000 0.000000
1152 384 3.000000 0.000000  1152 384 5.000000 0.000000  1152 384 10.000000 0.000000
	
0 512 3.000000 0.000000     0 512 5.000000 0.000000     0 512 11.000000 0.000000
128 512 2.000000 0.000000   128 512 5.000000 0.000000   128 512 10.000000 0.000000
256 512 2.000000 0.000000   256 512 5.000000 0.000000   256 512 9.000000 0.000000
384 512 2.000000 0.000000   384 512 4.000000 0.000000   384 512 9.000000 0.000000
512 512 2.000000 0.000000   512 512 5.000000 0.000000   512 512 10.000000 0.000000
640 512 2.000000 0.000000   640 512 5.000000 0.000000   640 512 10.000000 0.000000
768 512 2.000000 0.000000   768 512 5.000000 0.000000   768 512 10.000000 0.000000
896 512 2.000000 0.000000   896 512 5.000000 0.000000   896 512 10.000000 0.000000
1024 512 3.000000 0.000000  1024 512 5.000000 0.000000  1024 512 10.000000 0.000000
1152 512 3.000000 0.000000  1152 512 5.000000 0.000000  1152 512 10.000000 0.000000
	
0 640 2.000000 0.000000     0 640 5.000000 0.000000     0 640 10.000000 0.000000
128 640 2.000000 0.000000   128 640 5.000000 -1.000000  128 640 10.000000 -1.000000
256 640 2.000000 0.000000   256 640 4.000000 0.000000   256 640 9.000000 0.000000
384 640 2.000000 0.000000   384 640 4.000000 0.000000   384 640 9.000000 0.000000
512 640 2.000000 0.000000   512 640 5.000000 0.000000   512 640 9.000000 0.000000
640 640 2.000000 0.000000   640 640 4.000000 0.000000   640 640 9.000000 0.000000
768 640 2.000000 0.000000   768 640 5.000000 0.000000   768 640 9.000000 0.000000
896 640 2.000000 0.000000   896 640 5.000000 0.000000   896 640 10.000000 0.000000
1024 640 3.000000 0.000000  1024 640 5.000000 0.000000  1024 640 10.000000 0.000000
1152 640 2.000000 0.000000  1152 640 4.000000 0.000000  1152 640 8.000000 0.000000
